,Green Tea St,Hazelnut St,Mango St,Mint Choco,Day,Date_
0,0.0,260.0,338.0,80.0,Sat,2017-04-01
1,0.0,0.0,0.0,0.0,Sun,2017-04-02
2,0.0,286.0,234.0,0.0,Mon,2017-04-03
3,0.0,0.0,0.0,0.0,Tue,2017-04-04
4,52.0,104.0,260.0,80.0,Wed,2017-04-05
5,26.0,26.0,468.0,0.0,Thu,2017-04-06
6,104.0,26.0,130.0,40.0,Fri,2017-04-07
7,52.0,26.0,26.0,0.0,Sat,2017-04-08
8,0.0,0.0,0.0,0.0,Sun,2017-04-09
9,26.0,0.0,52.0,0.0,Mon,2017-04-10
10,104.0,26.0,0.0,0.0,Tue,2017-04-11
11,0.0,26.0,52.0,0.0,Wed,2017-04-12
12,0.0,52.0,130.0,0.0,Thu,2017-04-13
13,0.0,0.0,0.0,0.0,Fri,2017-04-14
14,0.0,26.0,234.0,0.0,Sat,2017-04-15
15,0.0,0.0,0.0,0.0,Sun,2017-04-16
16,0.0,0.0,156.0,0.0,Mon,2017-04-17
17,78.0,78.0,390.0,0.0,Tue,2017-04-18
18,52.0,52.0,338.0,40.0,Wed,2017-04-19
19,0.0,26.0,338.0,0.0,Thu,2017-04-20
20,208.0,156.0,286.0,0.0,Fri,2017-04-21
21,130.0,154.33333,153.14286,0.0,Sat,2017-04-22
22,0.0,0.0,0.0,0.0,Sun,2017-04-23
23,234.0,208.0,78.0,0.0,Mon,2017-04-24
24,78.0,130.0,104.0,0.0,Tue,2017-04-25
25,130.0,260.0,260.0,0.0,Wed,2017-04-26
26,104.0,286.0,128.33333,0.0,Thu,2017-04-27
27,52.0,260.0,0.0,0.0,Fri,2017-04-28
28,208.0,130.0,0.0,0.0,Sat,2017-04-29
29,0.0,0.0,0.0,0.0,Sun,2017-04-30
30,130.0,104.0,0.0,0.0,Mon,2017-05-01
31,104.0,234.0,0.0,0.0,Tue,2017-05-02
32,130.0,156.0,156.0,40.0,Wed,2017-05-03
33,104.0,130.0,156.0,40.0,Thu,2017-05-04
34,0.0,52.0,156.0,0.0,Fri,2017-05-05
35,0.0,0.0,52.0,40.0,Sat,2017-05-06
