,Green Tea St,Hazelnut St,Mango St,Mint Choco,Day,Date_
0,0.0,260.0,338.0,80.0,Sat,1st Apr 2017
1,0.0,0.0,0.0,0.0,Sun,2nd Apr 2017
2,0.0,286.0,234.0,0.0,Mon,3rd Apr 2017
3,0.0,0.0,0.0,0.0,Tue,4th Apr 2017
4,52.0,104.0,260.0,80.0,Wed,5th Apr 2017
5,26.0,26.0,468.0,0.0,Thu,6th Apr 2017
6,104.0,26.0,130.0,40.0,Fri,7th Apr 2017
7,52.0,26.0,26.0,0.0,Sat,8th Apr 2017
8,0.0,0.0,0.0,0.0,Sun,9th Apr 2017
9,26.0,0.0,52.0,0.0,Mon,10th Apr 2017
10,104.0,26.0,0.0,0.0,Tue,11th Apr 2017
11,0.0,26.0,52.0,0.0,Wed,12th Apr 2017
12,0.0,52.0,130.0,0.0,Thu,13th Apr 2017
13,0.0,0.0,0.0,0.0,Fri,14th Apr 2017
14,0.0,26.0,234.0,0.0,Sat,15th Apr 2017
15,0.0,0.0,0.0,0.0,Sun,16th Apr 2017
16,0.0,0.0,156.0,0.0,Mon,17th Apr 2017
17,78.0,78.0,390.0,0.0,Tue,18th Apr 2017
18,52.0,52.0,338.0,40.0,Wed,19th Apr 2017
19,0.0,26.0,338.0,0.0,Thu,20th Apr 2017
20,208.0,156.0,286.0,0.0,Fri,21st Apr 2017
21,130.0,154.33333,153.14286,0.0,Sat,22nd Apr 2017
22,0.0,0.0,0.0,0.0,Sun,23rd Apr 2017
23,234.0,208.0,78.0,0.0,Mon,24th Apr 2017
24,78.0,130.0,104.0,0.0,Tue,25th Apr 2017
25,130.0,260.0,260.0,0.0,Wed,26th Apr 2017
26,104.0,286.0,128.33333,0.0,Thu,27th Apr 2017
27,52.0,260.0,0.0,0.0,Fri,28th Apr 2017
28,208.0,130.0,0.0,0.0,Sat,29th Apr 2017
29,0.0,0.0,0.0,0.0,Sun,30th Apr 2017
30,130.0,104.0,0.0,0.0,Mon,1st May 2017
31,104.0,234.0,0.0,0.0,Tue,2nd May 2017
32,130.0,156.0,156.0,40.0,Wed,3rd May 2017
33,104.0,130.0,156.0,40.0,Thu,4th May 2017
34,0.0,52.0,156.0,0.0,Fri,5th May 2017
35,0.0,0.0,52.0,40.0,Sat,6th May 2017
36,0.0,0.0,0.0,0.0,Sun,7th May 2017
37,26.0,26.0,130.0,0.0,Mon,8th May 2017
38,0.0,0.0,104.0,0.0,Tue,9th May 2017
39,52.0,52.0,182.0,40.0,Wed,10th May 2017
40,0.0,0.0,78.0,80.0,Thu,11th May 2017
41,0.0,0.0,0.0,80.0,Fri,12th May 2017
42,0.0,78.0,0.0,40.0,Sat,13th May 2017
43,0.0,0.0,0.0,0.0,Sun,14th May 2017
44,52.0,52.0,0.0,0.0,Mon,15th May 2017
45,26.0,0.0,0.0,40.0,Tue,16th May 2017
46,104.0,0.0,130.0,0.0,Wed,17th May 2017
47,0.0,52.0,104.0,0.0,Thu,18th May 2017
48,78.0,0.0,130.0,0.0,Fri,19th May 2017
49,26.0,26.0,130.0,80.0,Sat,20th May 2017
50,0.0,0.0,0.0,0.0,Sun,21st May 2017
51,0.0,0.0,78.0,0.0,Mon,22nd May 2017
52,26.0,26.0,78.0,0.0,Tue,23rd May 2017
53,0.0,0.0,52.0,0.0,Wed,24th May 2017
54,50.33333,26.0,206.33333,0.0,Thu,25th May 2017
55,52.0,26.0,0.0,0.0,Fri,26th May 2017
56,26.0,0.0,52.0,0.0,Sat,27th May 2017
57,0.0,0.0,0.0,0.0,Sun,28th May 2017
58,26.0,24.33333,52.0,0.0,Mon,29th May 2017
59,26.0,0.0,104.0,0.0,Tue,30th May 2017
60,0.0,0.0,52.0,0.0,Wed,31st May 2017
61,78.0,26.0,126.66666,0.0,Thu,1st Jun 2017
62,26.0,0.0,156.0,0.0,Fri,2nd Jun 2017
63,52.0,0.0,0.0,0.0,Sat,3rd Jun 2017
64,0.0,0.0,0.0,0.0,Sun,4th Jun 2017
65,26.0,0.0,130.0,0.0,Mon,5th Jun 2017
66,104.0,0.0,78.0,0.0,Tue,6th Jun 2017
67,78.0,26.0,26.0,0.0,Wed,7th Jun 2017
68,52.0,0.0,0.0,0.0,Thu,8th Jun 2017
69,208.0,0.0,26.0,0.0,Fri,9th Jun 2017
70,104.0,26.0,0.0,0.0,Sat,10th Jun 2017
71,0.0,0.0,0.0,0.0,Sun,11th Jun 2017
72,26.0,0.0,0.0,0.0,Mon,12th Jun 2017
73,0.0,52.0,104.0,0.0,Tue,13th Jun 2017
74,26.0,104.0,260.0,0.0,Wed,14th Jun 2017
75,52.0,104.0,232.33334,0.0,Thu,15th Jun 2017
76,52.0,52.0,130.0,0.0,Fri,16th Jun 2017
77,0.0,52.0,104.0,0.0,Sat,17th Jun 2017
78,0.0,0.0,0.0,0.0,Sun,18th Jun 2017
79,52.0,130.0,26.0,0.0,Mon,19th Jun 2017
80,0.0,130.0,0.0,0.0,Tue,20th Jun 2017
81,26.0,0.0,0.0,0.0,Wed,21st Jun 2017
82,26.0,0.0,52.0,0.0,Thu,22nd Jun 2017
